Historical_N,Num_Stages,alpha,mu,bound,capacity,c_t,h_t,b_t,b_T,epsilon_N,Train_Average_Cost,Test_Average_Cost,Time,Date
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.19952600000000004,207.02590645491094,207.6725791157757,130.37205266952515,2024-12-26 20:58:26
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.2511884129887392,207.35239966078427,207.62416513897972,135.00404119491577,2024-12-26 22:04:35
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.3162275534005663,207.71893244964156,207.59527688582756,132.09061813354492,2024-12-26 23:09:53
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.398107,208.1876729819496,207.59667893172184,132.53439331054688,2024-12-27 00:17:29
