50_0.19952600000000004_Train,50_0.19952600000000004_Test,50_0.2511884129887392_Train,50_0.2511884129887392_Test,50_0.3162275534005663_Train,50_0.3162275534005663_Test,50_0.398107_Train,50_0.398107_Test
205.61017103344437,207.6653462488772,205.93270089756268,207.57331246660297,206.14736419071218,207.48618525542355,206.6582209374918,207.3824322199292
206.8145037706959,207.50538916846378,207.13900048463606,207.47948110840852,207.5477438174975,207.48055131888228,208.0494172476179,207.5292124147525
208.28250968777616,207.63691434365754,208.61123849054846,207.60328774259688,208.4547005317068,207.58043656558502,208.9533645268306,207.56828124206348
206.43671086123445,207.51530120382222,206.76256595737533,207.47503205160314,207.15332994416625,207.46616597740447,207.67095698726928,207.49426782402372
206.3573862473014,207.72402458715104,206.68285574348283,207.7014865839474,207.09419259844654,207.70042318284396,207.61331161934694,207.73910211260673
207.00200052394388,207.8558076064175,207.32927720013868,207.76723732572924,207.74151411645008,207.69123992159206,208.26083857300327,207.65051403478208
208.8081667508247,207.85258008065946,209.13582451996672,207.76984594912906,209.54854539606367,207.70161489927676,210.06848577819,207.67208409025167
205.85143564680624,207.59586596485227,206.17852925409764,207.51593400700904,206.59054978193564,207.45573617050647,207.1068131618877,207.43800604844955
208.92750479781913,207.5900808251201,209.25591773987955,207.5735983134287,209.84893465071045,207.570217475926,210.36993080013093,207.61020991591081
207.05245135505183,207.69071520595,207.3794334632169,207.6578288044342,207.65382165824323,207.63622419765719,208.17352054518648,207.64247394889009
208.73471138132646,207.47898155073494,209.0634833445238,207.46772876557895,209.47774221568915,207.49215340160615,209.99963288677435,207.57269029328614
208.14309517468928,207.41208599934208,208.46848364377976,207.3776087270962,208.8783491909588,207.36757166293083,209.3946938173207,207.40986500988407
207.818202767155,207.55932006534522,208.14334236039593,207.5388595068002,208.5530880558966,207.533515529439,207.61780862757624,207.5013120128459
207.88600004907713,207.50495132164454,208.21506939613565,207.44762698158263,208.6295916038304,207.40981785752336,209.15190057188724,207.41603935730905
205.3522565129819,208.70035010059212,205.6795352876416,208.5226186252504,206.09178357764756,208.33750611651084,206.6111401947013,208.17035649437494
207.98852091998702,207.6230740594811,208.31577953276502,207.56840891913367,208.72800243340114,207.5393239646515,209.24732309913148,207.55751014920963
206.73834546885035,207.47453548345152,207.06310769367974,207.45998942235028,207.47198497187878,207.47033187485314,208.04805880406022,207.5039666493462
206.67103984232511,207.37046909724265,206.99724063821103,207.39440578341578,206.85792099217403,207.4257366935301,207.37943738187718,207.35554788133913
208.14903693540387,207.70862124583698,208.4730090128914,207.66100659942262,208.8633306240144,207.63792900970074,209.37743674301896,207.65373637868376
205.80303590447735,207.98342988830902,206.13148422791903,207.90452569588956,206.54520712003483,207.8438210883501,207.04214973770584,207.82511072421505
207.1070234954591,207.49844995104127,207.43408398171886,207.46838933142223,207.8291013155316,207.45873637257264,208.34790518970777,207.49974105536467
207.37037067614216,207.62716268638357,207.69484020866375,207.55973389861003,208.10354967749657,207.51128826339422,208.59607147236267,207.50385910172383
204.92002183725378,207.7666354106323,205.2481782263328,207.6874699909083,205.66166893745537,207.62708584645236,206.18259814829923,207.60432955724932
206.1271655821646,207.45456992102385,206.45387078010373,207.44408796024447,206.86136048093547,207.46254173084674,207.3618229514781,207.527133942185
207.48705313652465,207.53585169413958,207.81419002990634,207.56248221752335,208.22625738202223,207.62377606695014,208.74537855064688,207.73993332859416
207.14239161189602,207.5134900599488,207.46787981078685,207.47115312826122,207.8778679662844,207.45195630221576,208.39436584524472,207.47772599786728
207.4575965940549,207.76927273296295,207.78609548303882,207.72826808098196,208.19999512160837,207.71114864572687,208.72144689975926,207.736447840039
204.82806142455735,207.89386348197453,205.15266014166934,207.79306660379194,205.5615247997303,207.70222222831217,206.07660239689076,207.64648175065395
206.89742601550876,208.33679629642424,207.22424923454884,208.24014015127418,207.63592075745805,208.15426948420625,208.154533989479,208.0994886125817
207.0129976425955,207.33343719178927,207.33806303791204,207.31033942696467,207.73302957926512,207.32877946995544,208.2550219736112,207.37250796324346
