25_0.501187_Train,25_0.501187_Test,25_0.6309571484006381_Train,25_0.6309571484006381_Test,25_0.7943281112995045_Train,25_0.7943281112995045_Test,25_1.0_Train,25_1.0_Test
207.43377279271232,208.6185752808418,206.41030062002213,208.56273091393612,207.44464216412433,208.41991535254127,208.74938878522724,208.54432947388344
207.9861494757282,207.8240175799683,208.80392423861747,207.98146906731006,209.83400604759282,208.24743481747302,211.1330732118594,208.80837613976954
208.7013817493458,208.16519051944547,209.52946381533332,208.2368157625636,210.57601299323932,208.46928195183563,212.247756092773,208.81203731071696
207.33036868225793,207.87798579440508,208.14900620584012,207.87343849784153,209.1810198189785,208.02586272672576,210.48248753796315,208.3890558442283
210.03895705404736,207.82738384639944,209.94463850616896,207.9657418565175,210.9619763591978,208.21026387266357,212.27477792113314,208.68242506287925
208.15250998371124,208.6161151819922,208.97767857689428,208.58113264055018,210.01785683576492,208.6977538876193,210.76723831034943,208.85993394349987
209.48093010743014,208.9234139441467,210.3056968183797,208.77290385014592,211.34543510222036,208.77442644327675,212.65664110753207,208.9961657233219
205.96531681697962,207.6834577518781,206.79006108076192,207.68260757735428,207.81173291014534,207.84197451581855,209.12720005721192,208.2510371987582
209.95563635238122,207.9921432053326,210.47418584353454,208.0053973470756,211.51215006379232,208.11369132701196,212.82116121433992,208.476447973176
208.13847137077136,207.53288210143307,208.9673492997786,207.6099767015878,210.0121596747999,207.86100034099545,211.7488532153741,208.27950210579326
211.92135133670513,208.6335231778976,210.70099583443854,208.65049880481524,211.77159624071106,208.63268275233307,212.8895467044787,208.90747742145922
208.01103015770957,207.67318308272436,208.8272236400752,207.87142154318806,209.86506964911823,208.2159747793846,210.6454828923264,208.62557799730033
209.5015487902453,207.79863953699228,210.3303465250964,208.00926376322604,211.3752103121537,208.37846272473703,211.34358420097132,208.8374872115958
207.6285118691909,207.88979239256307,208.46096456474638,207.82738510698644,209.51044373223752,207.93430987107027,210.83401588052516,208.29928278335365
207.62235623335337,209.0681044346972,207.55852043537027,208.78996857498822,208.59967609967836,208.61153091732766,209.42378168654756,208.55308522858476
210.92659674705166,207.83940848176573,211.75243747900336,208.01620675610747,210.88263562642874,208.21151520624008,212.19183079074017,208.48404192970125
208.51969154906192,207.55266926090084,209.3396955790254,207.69445683076572,210.3620646562086,208.00349621166697,211.66582593059067,208.52777593845101
206.57554806648326,207.57937066449554,207.40704366531864,207.56025815080946,208.43720674808128,207.71251807172382,209.75934715581334,208.09741785531548
207.37897994354256,208.53597770337402,208.20103853157462,208.22041343211137,209.2482776616392,208.06892908825907,210.56920463548985,208.20613238132304
206.71671885540795,208.6138617197969,207.5525275075389,208.37932361777723,208.60648905070073,208.29078756424695,209.91379187691834,208.44860277785884
208.2173982173173,207.71720960944936,208.0996294833928,207.8614772609116,209.13769986012596,208.1121585141272,210.44786182247947,208.58294103554903
205.3668592975555,208.14707688931964,206.1973349348413,207.8566625106395,207.2443316427293,207.74237483595098,208.551072256615,207.89795794491104
206.74994661375052,208.2950194667065,207.5772788031726,208.2784150690945,209.22921365552517,208.26136728404205,209.83133434219138,208.42517332742932
207.37794880376276,207.76951189124318,208.17463323615416,207.90806497035612,209.101397858706,208.0628989290541,210.42600002949922,208.36996128514625
211.44827573840612,208.0184688594763,212.28735610170608,208.32399401106466,210.9397791809593,208.58000874459236,212.231662633232,208.9395043648235
206.47895425247137,208.37614922412052,207.303323055181,208.25056923981165,208.3226417260007,208.27875540473153,209.6349981339639,208.5339163518569
209.00440013543826,207.68726491587438,209.8273305042966,207.71050547311336,210.87221004076807,207.91050706804958,212.189998926363,208.36352003762136
206.63958535137922,208.9258657552375,207.47072530001196,208.62212828395147,208.51886612560932,208.4763750692124,209.8390608902737,208.52970739320534
210.17949410690545,208.20237772441504,211.00119794241195,208.2787670053616,212.03704951928893,208.50380830883594,213.34331346317504,208.94156441104073
207.59248457252588,208.07546124460183,208.41486656948592,208.0676990172239,209.45113413395845,208.1894127011729,210.8228706430208,208.39576163257664
