Historical_N,Num_Stages,alpha,mu,bound,capacity,c_t,h_t,b_t,b_T,epsilon_N,Train_Average_Cost,Test_Average_Cost,Time,Date
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001,205.35568292742852,210.51890565526776,0.27801084518432617,2024-12-26 13:27:51
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0012589254117941675,205.3573247435537,210.51741952911271,0.27832865715026855,2024-12-26 13:27:59
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001584893192461114,205.35939167283988,210.5155498012832,0.2781083583831787,2024-12-26 13:28:08
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001995262314968879,205.36199379095493,210.51319738935646,0.27689075469970703,2024-12-26 13:28:16
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0025118864315095794,205.36526967674865,210.51023857478654,0.2772693634033203,2024-12-26 13:28:25
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0031622776601683794,205.3693937935009,210.50651779318517,0.2740166187286377,2024-12-26 13:28:33
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.003981071705534973,205.37458578197416,210.50184035564533,0.27617454528808594,2024-12-26 13:28:41
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.005011872336272725,205.38112216065036,210.49596274624156,0.27622246742248535,2024-12-26 13:28:50
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.00630957344480193,205.38935105699483,210.48858099882625,0.2761557102203369,2024-12-26 13:28:58
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.007943282347242814,205.39971075546507,210.47931369038417,0.27766966819763184,2024-12-26 13:29:06
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01,205.41275305194407,210.46769254532416,0.27713823318481445,2024-12-26 13:29:15
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.012589254117941675,205.42917266137096,210.45313053055332,0.2756340503692627,2024-12-26 13:29:23
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01584893192461114,205.44984425444096,210.43490429529646,0.27507710456848145,2024-12-26 13:29:31
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0199526231496888,205.4758693338899,210.41210333651244,0.2769663333892822,2024-12-26 13:29:40
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.025118864315095808,205.5086346368042,210.38370255185583,0.276930570602417,2024-12-26 13:29:48
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.03162277660168379,205.54988597707103,210.34843193344983,0.27679967880249023,2024-12-26 13:29:56
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.039810717055349734,205.60182138919856,210.31246453413766,0.2750101089477539,2024-12-26 13:30:05
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.05011872336272725,205.66720909232743,210.25841965358282,0.274385929107666,2024-12-26 13:30:13
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.06309573444801933,205.7495351421718,210.19231039878701,0.27770519256591797,2024-12-26 13:30:21
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.07943282347242818,205.85318420533025,210.12008290256537,0.27568864822387695,2024-12-26 13:30:30
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.1,205.98368693786367,210.0226029420656,0.2752189636230469,2024-12-26 13:30:38
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.12589254117941676,206.1480139397255,209.90645360340295,0.2767066955566406,2024-12-26 13:30:46
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.15848931924611143,206.35493466469427,209.77747579582487,0.2754964828491211,2024-12-26 13:30:55
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.19952623149688808,206.6154577533151,209.6382376157579,0.2749602794647217,2024-12-26 13:31:03
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.25118864315095824,206.94349285069677,209.48279029780105,0.2753615379333496,2024-12-26 13:31:11
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.31622776601683794,207.35656141907967,209.30981560734423,0.2745516300201416,2024-12-26 13:31:20
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.3981071705534973,207.87684829714578,209.13541429568903,0.27707624435424805,2024-12-26 13:31:28
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.5011872336272725,208.53243519587238,209.00729749000678,0.27378177642822266,2024-12-26 13:31:36
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.6309573444801936,209.35836384235895,208.95668228338383,0.27266597747802734,2024-12-26 13:31:45
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.7943282347242822,210.3988201349125,209.05952482921438,0.2751197814941406,2024-12-26 13:31:53
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.0,211.70910463900972,209.3759475456453,0.27592921257019043,2024-12-26 13:32:01
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.2589254117941675,213.3577020885263,209.96942943913388,0.27535271644592285,2024-12-26 13:32:10
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.584893192461114,215.4310277434183,210.85910699440294,0.2752556800842285,2024-12-26 13:32:18
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.9952623149688808,218.03241243044343,212.20817469227393,0.28112077713012695,2024-12-26 13:32:26
25,10,0.25,200,20,260,0.1,0.02,0.2,2,2.5118864315095824,221.27533501068552,214.12241822216396,0.2783501148223877,2024-12-26 13:32:35
25,10,0.25,200,20,260,0.1,0.02,0.2,2,3.1622776601683795,225.2783599857829,216.51432386811746,0.27951788902282715,2024-12-26 13:32:43
