Historical_N,Num_Stages,alpha,mu,bound,capacity,c_t,h_t,b_t,b_T,epsilon_N,Train_Average_Cost,Test_Average_Cost,Time,Date
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.19952623149688808,206.89604755385665,209.5822695221822,0.27107834815979004,2024-12-26 00:24:15
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.25118864315095824,207.22422079411118,209.43438907139785,0.27480268478393555,2024-12-26 00:24:43
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.31622776601683794,207.63747855580826,209.2916327927526,0.27817654609680176,2024-12-26 00:25:11
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.3981071705534973,208.15799576107003,209.14470077384703,0.27875399589538574,2024-12-26 00:25:39
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.5011872336272725,208.81382786261315,209.0378414395066,0.2731664180755615,2024-12-26 00:26:07
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.6309573444801936,209.64015823054268,209.00823725825245,0.2761263847351074,2024-12-26 00:26:34
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.7943282347242822,210.68119262774758,209.12688617023613,0.276003360748291,2024-12-26 00:27:02
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.0,211.99247700795206,209.45634681433535,0.27841949462890625,2024-12-26 00:27:30
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.2589254117941675,213.64284318935313,210.04635307138983,0.2787659168243408,2024-12-26 00:27:58
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.584893192461114,215.71820624042772,210.97693817411732,0.2745215892791748,2024-12-26 00:28:26
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.9952623149688808,218.3225123092954,212.33030823317412,0.27462244033813477,2024-12-26 00:28:54
25,10,0.25,200,20,260,0.1,0.02,0.2,2,2.5118864315095824,221.57274168477431,214.22437502656638,0.27509379386901855,2024-12-26 00:29:22
25,10,0.25,200,20,260,0.1,0.02,0.2,2,3.1622776601683795,225.58978466401695,216.62313202167962,0.2728598117828369,2024-12-26 00:29:50
25,10,0.25,200,20,260,0.1,0.02,0.2,2,3.981071705534973,230.46839375808412,219.9317796535845,0.2747838497161865,2024-12-26 00:30:18
25,10,0.25,200,20,260,0.1,0.02,0.2,2,5.011872336272725,236.21758489776286,224.03887653334806,0.2761359214782715,2024-12-26 00:30:45
25,10,0.25,200,20,260,0.1,0.02,0.2,2,6.309573444801936,242.89717791480697,228.89360997539757,0.30265378952026367,2024-12-26 00:31:13
25,10,0.25,200,20,260,0.1,0.02,0.2,2,7.943282347242821,250.5389197866293,234.85370726875732,0.27533578872680664,2024-12-26 00:31:41
25,10,0.25,200,20,260,0.1,0.02,0.2,2,10.0,258.92911322162365,240.97233681990144,0.27379536628723145,2024-12-26 00:32:08
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001,206.35763523403352,208.23244572088913,0.33098840713500977,2024-12-26 00:32:41
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0012589254117941675,206.35927307949402,208.2318572750388,0.33901453018188477,2024-12-26 00:33:15
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001584893192461114,206.36133501042264,208.23111737064508,0.33116745948791504,2024-12-26 00:33:48
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001995262314968879,206.3639308366332,208.2301873907998,0.32914113998413086,2024-12-26 00:34:21
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0025118864315095794,206.36719880242626,208.22901899279898,0.33763623237609863,2024-12-26 00:34:55
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0031622776601683794,206.371312950133,208.22755197312506,0.3327000141143799,2024-12-26 00:35:28
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.003981071705534973,206.3764923890199,208.2257186547948,0.3353281021118164,2024-12-26 00:36:02
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.005011872336272725,206.3830129729865,208.22341100691244,0.32985472679138184,2024-12-26 00:36:36
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.00630957344480193,206.3912219941236,208.22043882785147,0.32901763916015625,2024-12-26 00:37:09
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.007943282347242814,206.40155672123362,208.21687245367585,0.33185482025146484,2024-12-26 00:37:42
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01,206.41456758644202,208.2123718532581,0.32684779167175293,2024-12-26 00:38:15
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.012589254117941675,206.43094766373454,208.20676770786628,0.3341357707977295,2024-12-26 00:38:48
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01584893192461114,206.45156953244984,208.19991917491578,0.32793378829956055,2024-12-26 00:39:21
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0199526231496888,206.4775317869438,208.19130841623192,0.3343353271484375,2024-12-26 00:39:54
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.025118864315095808,206.51021773294502,208.18080479853663,0.32759618759155273,2024-12-26 00:40:28
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.03162277660168379,206.55136910559446,208.16791256928198,0.3280918598175049,2024-12-26 00:41:01
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.039810717055349734,206.603179232233,208.15217161651287,0.330125093460083,2024-12-26 00:41:34
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.05011872336272725,206.66841010157222,208.13330077117848,0.32764101028442383,2024-12-26 00:42:07
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.06309573444801933,206.75054063716303,208.1109796622811,0.32792043685913086,2024-12-26 00:42:40
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.07943282347242818,206.85395167724792,208.08524585975877,0.3316776752471924,2024-12-26 00:43:14
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.1,206.9841602991154,208.0556371025211,0.3271141052246094,2024-12-26 00:43:47
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.12589254117941676,207.14811753238627,208.0281461000251,0.3303103446960449,2024-12-26 00:44:20
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.15848931924611143,207.35458321518985,207.99820115194862,0.3281252384185791,2024-12-26 00:44:53
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.19952623149688808,207.61459365447345,207.97344930087743,0.3272249698638916,2024-12-26 00:45:26
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.25118864315095824,207.94206968348487,207.96024015861963,0.3305959701538086,2024-12-26 00:45:59
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.31622776601683794,208.35456057653155,207.9712697598194,0.33066749572753906,2024-12-26 00:46:32
