Historical_N,Evaluation_N,Num_Retailers,f,h,c,b,epsilon_N,Train_Average_Cost,Test_Average_Cost,Date
50,10000,3,0,0.05,0.25,0.5,0.0707945784384138,19.54557403455068,22.202317392653022,2024-12-22 21:43:24
50,10000,3,0,0.05,0.25,0.5,0.07943282347242818,19.56836787916283,22.1583761204237,2024-12-22 21:43:40
50,10000,3,0,0.05,0.25,0.5,0.08912509381337459,19.59875840158221,22.114339173790135,2024-12-22 21:43:55
50,10000,3,0,0.05,0.25,0.5,0.1,19.63756510418298,22.086316584852653,2024-12-22 21:44:11
50,10000,3,0,0.05,0.25,0.5,0.11220184543019641,19.67400165178998,22.045065879640525,2024-12-22 21:44:27
50,10000,3,0,0.05,0.25,0.5,0.12589254117941676,19.726498758939623,21.997391652227176,2024-12-22 21:44:43
50,10000,3,0,0.05,0.25,0.5,0.1412537544622754,19.785817753078366,21.973743857043214,2024-12-22 21:44:58
50,10000,3,0,0.05,0.25,0.5,0.15848931924611143,19.853350086838706,21.91098442224399,2024-12-22 21:45:14
50,10000,3,0,0.05,0.25,0.5,0.1778279410038923,19.928787472934424,21.869464072284277,2024-12-22 21:45:30
50,10000,3,0,0.05,0.25,0.5,0.19952623149688808,20.013713154707094,21.79663174322815,2024-12-22 21:45:46
50,10000,3,0,0.05,0.25,0.5,0.223872113856834,20.10622511855432,21.74558615181534,2024-12-22 21:46:02
50,10000,3,0,0.05,0.25,0.5,0.25118864315095824,20.19462125083514,21.707563790215573,2024-12-22 21:46:19
50,10000,3,0,0.05,0.25,0.5,0.2818382931264455,20.288621916897856,21.662405928301546,2024-12-22 21:46:35
50,10000,3,0,0.05,0.25,0.5,0.31622776601683794,20.407561748760088,21.63872609799146,2024-12-22 21:46:51
50,10000,3,0,0.05,0.25,0.5,0.3548133892335757,20.55498704828982,21.589011222438828,2024-12-22 21:47:08
50,10000,3,0,0.05,0.25,0.5,0.3981071705534973,20.69848889390041,21.53327209535874,2024-12-22 21:47:25
50,10000,3,0,0.05,0.25,0.5,0.4466835921509635,20.850684266277064,21.498209310856417,2024-12-22 21:47:41
50,10000,3,0,0.05,0.25,0.5,0.5011872336272725,21.036079781886528,21.504292343313914,2024-12-22 21:47:59
50,10000,3,0,0.05,0.25,0.5,0.5623413251903491,21.227276645612744,21.5146619465397,2024-12-22 21:48:16
50,10000,3,0,0.05,0.25,0.5,0.6309573444801936,21.44036086789817,21.4793187929749,2024-12-22 21:48:33
50,10000,3,0,0.05,0.25,0.5,0.707945784384138,21.63873531401188,21.52140630166521,2024-12-22 21:48:51
50,10000,3,0,0.05,0.25,0.5,0.7943282347242822,21.86435859919693,21.519619826862886,2024-12-22 21:49:09
50,10000,3,0,0.05,0.25,0.5,0.8912509381337459,22.098010515626555,21.573958285343792,2024-12-22 21:49:28
50,10000,3,0,0.05,0.25,0.5,1.0,22.34971481067922,21.591624730046483,2024-12-22 21:49:46
200,10000,3,0,0.05,0.25,0.5,0.001,19.25759914726512,21.604956873992148,2024-12-22 21:50:48
200,10000,3,0,0.05,0.25,0.5,0.001122018454301963,19.257769367704704,21.61631727734691,2024-12-22 21:51:50
200,10000,3,0,0.05,0.25,0.5,0.0012589254117941675,19.258353850606817,21.617124713992823,2024-12-22 21:52:52
200,10000,3,0,0.05,0.25,0.5,0.001412537544622754,19.258708108907133,21.60772708007728,2024-12-22 21:53:54
200,10000,3,0,0.05,0.25,0.5,0.001584893192461114,19.259612539653823,21.609082480459453,2024-12-22 21:54:57
200,10000,3,0,0.05,0.25,0.5,0.0017782794100389228,19.25988238565752,21.60215374502395,2024-12-22 21:55:58
200,10000,3,0,0.05,0.25,0.5,0.001995262314968879,19.260256048791224,21.59960133180794,2024-12-22 21:57:00
