Historical_N,Num_Stages,alpha,mu,bound,capacity,c_t,h_t,b_t,b_T,epsilon_N,Train_Average_Cost,Test_Average_Cost,Time,Date
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.125892541,207.0271598,207.4590619,231.4168653,2024/12/27 13:40
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.158489276,207.2400617,207.4197117,231.3085918,2024/12/27 15:36
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.199526187,207.4971824,207.3858538,233.0368624,2024/12/27 17:32
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.2511886,207.7249153,207.3621222,235.494539,2024/12/27 19:29
