Historical_N,Num_Stages,alpha,mu,bound,capacity,c_t,h_t,b_t,b_T,epsilon_N,Train_Average_Cost,Test_Average_Cost,Time,Date
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.501187,208.23470583412094,208.11533670804974,79.2258083820343,2024-12-26 17:27:56
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.6309571484006381,208.8278924899391,208.11498978790624,78.76639795303345,2024-12-26 18:07:17
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.7943281112995045,209.74033284968283,208.22798264275738,79.25792598724365,2024-12-26 18:46:52
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.0,210.9521054116326,208.53554000283765,78.19331216812134,2024-12-26 19:26:11
