Historical_N,epsilon_N,Original_Train,Original_Test,Hybrid_Train,Hybrid_Test,Original_Service_level,Hybrid_Service_level,Original_Time,Hybrid_Time
25,0.0,205.34934207757988,210.52465285408115,204.7681802665176,211.05853302724185,85.98056666666666,85.30273333333335,0.2767802000045776,0.7280823787053426
25,0.001,205.3556829274285,210.51890565526776,204.7745260069563,211.0511132834652,85.99426666666666,85.3161,0.276982037226359,0.7001048803329468
25,0.0012589254117941,205.3573247435537,210.5174195291127,204.77616929230516,211.04919438478885,85.9979,85.31946666666664,0.2775874137878418,0.7002499580383301
25,0.0015848931924611,205.35939167283988,210.5155498012832,204.77823761397013,211.0467796636504,86.00269999999999,85.32386666666666,0.2772368510564168,0.6999977906545003
25,0.0019952623149688,205.36199379095493,210.51319738935652,204.7808417403228,211.043741687073,86.0073333333333,85.32973333333331,0.2771592775980631,0.6998778343200683
25,0.0025118864315095,205.36526967674868,210.5102385747865,204.78412015492165,211.0399200987252,86.01356666666668,85.33693333333332,0.2772158543268839,0.6992429812749227
25,0.0031622776601683,205.3693937935009,210.5065177931852,204.78824745617587,211.035113375106,86.02166666666668,85.34636666666667,0.2768592119216919,0.7003408193588256
25,0.0039810717055349,205.37458578197416,210.50184035564533,204.79344345516597,211.029070242471,86.03166666666667,85.35813333333336,0.2768407265345255,0.6998652696609498
25,0.0050118723362727,205.3811221606504,210.4959627462416,204.79998488510728,211.0214750193871,86.04506666666666,85.3728,0.2769977569580078,0.699828314781189
25,0.0063095734448019,205.38935105699483,210.48858099882625,204.8082201443009,211.01193293085356,86.06179999999999,85.38976666666667,0.2770160992940267,0.6998339970906575
25,0.0079432823472428,205.3997107554651,210.47931369038417,204.81858785896048,210.9999498622375,86.08193333333335,85.41193333333335,0.276821231842041,0.6998133977254232
25,0.01,205.4127530519441,210.46769254532416,204.8316402564752,210.98491197505436,86.10916666666665,85.43879999999997,0.2770435730616251,0.6998278617858886
25,0.0125892541179416,205.42917266137093,210.4531305305533,204.84807259701512,210.96605838852156,86.1432333333333,85.47366666666667,0.2772384564081828,0.6998595714569091
25,0.0158489319246111,205.44984425444096,210.43490429529643,204.8687602358916,210.9424471947908,86.18396666666669,85.51823333333333,0.2770834684371948,0.6996525128682455
25,0.0199526231496888,205.4758693338899,210.41210333651244,204.89480529842004,210.912920614681,86.23776666666667,85.57286666666666,0.2771863937377929,0.6999128103256226
25,0.0251188643150958,205.50863463680423,210.38370255185583,204.9275954656281,210.87606620023,86.3044,85.64349999999999,0.277397092183431,0.7003327131271362
25,0.0316227766016837,205.549885977071,210.34843193344983,204.96879567449605,210.84333122973567,86.38926666666667,85.72779999999999,0.2773003657658895,0.6928979317347209
25,0.0398107170553497,205.60182138919856,210.3124645341377,205.0207698654534,210.78624691896292,86.4727,85.83996666666667,0.2770817756652832,0.693190582593282
25,0.0501187233627272,205.66720909232745,210.2584196535828,205.09132725256305,210.7170820834048,86.60363333333335,85.97183333333334,0.2768787542978922,0.7047460397084554
25,0.0630957344480193,205.7495351421718,210.192310398787,205.17371507473595,210.63001764974868,86.7649,86.14343333333336,0.2770217100779215,0.7032091697057088
25,0.0794328234724281,205.85318420533025,210.12008290256537,205.2764671816236,210.5239915570681,86.96126666666666,86.35603333333333,0.2771202007929484,0.6962345361709594
25,0.1,205.98368693786367,210.0226029420656,205.40907448251397,210.42321130299115,87.21623333333334,86.59713333333335,0.2770594755808512,0.7010863463083903
