Historical_N,omega,epsilon_N,simulation_id,n_estimators,max_depth,Pred_MSE,Train_Cost,Test_Cost,Service_Level,Time
25,0.0,0,0,10,5,0.0,203.64140692601768,211.71517935253232,78.299,0.30549001693725586
25,0.0,0,0,10,10,0.0,203.64140692601768,211.71517935253232,78.299,0.27970027923583984
25,0.0,0,0,10,15,0.0,203.64140692601768,211.71517935253232,78.299,0.277280330657959
25,0.0,0,0,20,5,0.0,203.64140692601768,211.71517935253232,78.299,0.28075265884399414
25,0.0,0,0,20,10,0.0,203.64140692601768,211.71517935253232,78.299,0.27897000312805176
25,0.0,0,0,20,15,0.0,203.64140692601768,211.71517935253232,78.299,0.2810204029083252
25,0.0,0,0,30,5,0.0,203.64140692601768,211.71517935253232,78.299,0.2803981304168701
25,0.0,0,0,30,10,0.0,203.64140692601768,211.71517935253232,78.299,0.2796339988708496
25,0.0,0,0,30,15,0.0,203.64140692601768,211.71517935253232,78.299,0.28034543991088867
25,0.0,0,0,40,5,0.0,203.64140692601768,211.71517935253232,78.299,0.2788724899291992
25,0.0,0,0,40,10,0.0,203.64140692601768,211.71517935253232,78.299,0.2792479991912842
25,0.0,0,0,40,15,0.0,203.64140692601768,211.71517935253232,78.299,0.2788887023925781
25,0.0,0,0,50,5,0.0,203.64140692601768,211.71517935253232,78.299,0.2808840274810791
25,0.0,0,0,50,10,0.0,203.64140692601768,211.71517935253232,78.299,0.28220272064208984
25,0.0,0,0,50,15,0.0,203.64140692601768,211.71517935253232,78.299,0.2798166275024414
25,0.0,0,0,100,5,0.0,203.64140692601768,211.71517935253232,78.299,0.2799396514892578
25,0.0,0,0,100,10,0.0,203.64140692601768,211.71517935253232,78.299,0.2794814109802246
25,0.0,0,0,100,15,0.0,203.64140692601768,211.71517935253232,78.299,0.2804677486419678
25,0.0,0,0,150,5,0.0,203.64140692601768,211.71517935253232,78.299,0.2812027931213379
25,0.0,0,0,150,10,0.0,203.64140692601768,211.71517935253232,78.299,0.28142833709716797
25,0.0,0,0,150,15,0.0,203.64140692601768,211.71517935253232,78.299,0.28670310974121094
25,0.0,0,1,10,5,0.0,206.38777361711604,208.49234146827806,91.708,0.28047680854797363
25,0.0,0,1,10,10,0.0,206.38777361711604,208.49234146827806,91.708,0.27895569801330566
25,0.0,0,1,10,15,0.0,206.38777361711604,208.49234146827806,91.708,0.27871155738830566
25,0.0,0,1,20,5,0.0,206.38777361711604,208.49234146827806,91.708,0.2779042720794678
25,0.0,0,1,20,10,0.0,206.38777361711604,208.49234146827806,91.708,0.28125572204589844
25,0.0,0,1,20,15,0.0,206.38777361711604,208.49234146827806,91.708,0.2791554927825928
25,0.0,0,1,30,5,0.0,206.38777361711604,208.49234146827806,91.708,0.2802095413208008
25,0.0,0,1,30,10,0.0,206.38777361711604,208.49234146827806,91.708,0.28011178970336914
25,0.0,0,1,30,15,0.0,206.38777361711604,208.49234146827806,91.708,0.2781791687011719
25,0.0,0,1,40,5,0.0,206.38777361711604,208.49234146827806,91.708,0.2792849540710449
25,0.0,0,1,40,10,0.0,206.38777361711604,208.49234146827806,91.708,0.2793135643005371
25,0.0,0,1,40,15,0.0,206.38777361711604,208.49234146827806,91.708,0.28054094314575195
25,0.0,0,1,50,5,0.0,206.38777361711604,208.49234146827806,91.708,0.2802610397338867
25,0.0,0,1,50,10,0.0,206.38777361711604,208.49234146827806,91.708,0.2809462547302246
25,0.0,0,1,50,15,0.0,206.38777361711604,208.49234146827806,91.708,0.2781975269317627
25,0.0,0,1,100,5,0.0,206.38777361711604,208.49234146827806,91.708,0.2785980701446533
25,0.0,0,1,100,10,0.0,206.38777361711604,208.49234146827806,91.708,0.27924108505249023
25,0.0,0,1,100,15,0.0,206.38777361711604,208.49234146827806,91.708,0.27795886993408203
25,0.0,0,1,150,5,0.0,206.38777361711604,208.49234146827806,91.708,0.28026485443115234
25,0.0,0,1,150,10,0.0,206.38777361711604,208.49234146827806,91.708,0.2778201103210449
25,0.0,0,1,150,15,0.0,206.38777361711604,208.49234146827806,91.708,0.2803316116333008
25,0.0,0,2,10,5,0.0,204.27149281489093,213.95685692146742,82.179,0.2803919315338135
25,0.0,0,2,10,10,0.0,204.27149281489093,213.95685692146742,82.179,0.2806413173675537
25,0.0,0,2,10,15,0.0,204.27149281489093,213.95685692146742,82.179,0.27939581871032715
25,0.0,0,2,20,5,0.0,204.27149281489093,213.95685692146742,82.179,0.28140687942504883
25,0.0,0,2,20,10,0.0,204.27149281489093,213.95685692146742,82.179,0.281879186630249
25,0.0,0,2,20,15,0.0,204.27149281489093,213.95685692146742,82.179,0.28080272674560547
25,0.0,0,2,30,5,0.0,204.27149281489093,213.95685692146742,82.179,0.2802867889404297
25,0.0,0,2,30,10,0.0,204.27149281489093,213.95685692146742,82.179,0.2791128158569336
25,0.0,0,2,30,15,0.0,204.27149281489093,213.95685692146742,82.179,0.28014230728149414
25,0.0,0,2,40,5,0.0,204.27149281489093,213.95685692146742,82.179,0.2794480323791504
25,0.0,0,2,40,10,0.0,204.27149281489093,213.95685692146742,82.179,0.28058743476867676
25,0.0,0,2,40,15,0.0,204.27149281489093,213.95685692146742,82.179,0.27993249893188477
25,0.0,0,2,50,5,0.0,204.27149281489093,213.95685692146742,82.179,0.28191089630126953
25,0.0,0,2,50,10,0.0,204.27149281489093,213.95685692146742,82.179,0.27699804306030273
25,0.0,0,2,50,15,0.0,204.27149281489093,213.95685692146742,82.179,0.28107333183288574
25,0.0,0,2,100,5,0.0,204.27149281489093,213.95685692146742,82.179,0.2803075313568115
25,0.0,0,2,100,10,0.0,204.27149281489093,213.95685692146742,82.179,0.2797703742980957
25,0.0,0,2,100,15,0.0,204.27149281489093,213.95685692146742,82.179,0.2803661823272705
25,0.0,0,2,150,5,0.0,204.27149281489093,213.95685692146742,82.179,0.27945661544799805
25,0.0,0,2,150,10,0.0,204.27149281489093,213.95685692146742,82.179,0.28021907806396484
25,0.0,0,2,150,15,0.0,204.27149281489093,213.95685692146742,82.179,0.28137731552124023
25,0.0,0,3,10,5,0.0,202.71522668143092,212.1258448381794,82.5,0.2799241542816162
25,0.0,0,3,10,10,0.0,202.71522668143092,212.1258448381794,82.5,0.27891969680786133
25,0.0,0,3,10,15,0.0,202.71522668143092,212.1258448381794,82.5,0.2815248966217041
25,0.0,0,3,20,5,0.0,202.71522668143092,212.1258448381794,82.5,0.28151798248291016
25,0.0,0,3,20,10,0.0,202.71522668143092,212.1258448381794,82.5,0.27930712699890137
25,0.0,0,3,20,15,0.0,202.71522668143092,212.1258448381794,82.5,0.27958178520202637
25,0.0,0,3,30,5,0.0,202.71522668143092,212.1258448381794,82.5,0.28765034675598145
25,0.0,0,3,30,10,0.0,202.71522668143092,212.1258448381794,82.5,0.2809727191925049
25,0.0,0,3,30,15,0.0,202.71522668143092,212.1258448381794,82.5,0.281278133392334
25,0.0,0,3,40,5,0.0,202.71522668143092,212.1258448381794,82.5,0.27825045585632324
25,0.0,0,3,40,10,0.0,202.71522668143092,212.1258448381794,82.5,0.27770304679870605
25,0.0,0,3,40,15,0.0,202.71522668143092,212.1258448381794,82.5,0.27864503860473633
25,0.0,0,3,50,5,0.0,202.71522668143092,212.1258448381794,82.5,0.27886414527893066
